real_object1,real_object2,article_of_pretend_object,pretend_object
banana,apple,a,phone
high_heel,baseball_bat,a,ladder
baseball_bat,binoculars,a,microphone
briefcase,bowl,a,house
bowl,balloon,a,swimming pool
carnation,scarf,a,mop
bottle,calculator,a,rocket
can,scissors,a,plane
wine_bottle,briefcase,a,bus
marker,banana,a,boat
tape,marker,a,motorcycle
battery,scissors,a,car
umbrella,volleyball,a,helicopter
card,towel,a,tent
calculator,car,a,piano
rose,fork,a,horn
pear,card,a,cello
golf_ball,can,a,lantern
fork,belt,a,bridge
hat,tennis_racket,a,nest
pear,soap_dispenser,a,snowman
volleyball,mug,a,watermelon
fork,bow-tie,a,cow
bow-tie,card,a,butterfly
spoon,high_heel,a,rose
car,mug,a,frog
jug,soap_dispenser,a,swan
soap_dispenser,binoculars,a,penguin
fire_truck,train,a,giraffe
scarf,paint_brush,a,sheep
towel,jug,a,jellyfish
apple,scarf,a,dog
mug,calculator,an,elephant
scissors,towel,a,ballet dancer
stapler,avocado,a,crocodile
train,mug,a,caterpillar
card,balloon,a,dragonfly
soup_spoon,train,a,duck
table_tennis_racket,rose,a,peacock
marker,orange,a,carrot
lemon,belt,a,crow
pineapple,paint_brush,a,bouquet
tape_measure,scissors,a,chamelion
fork,mug,a,tree
avocado,tape,a,snail
paint_brush,apple,a,fish
battery,car,a,bird
eraser,teapot,a,corn
belt,train,a,snake
airplane,binoculars,an,eagle