label,article_of_option1,option1,article_of_option2,option2,raw_pr1,raw_pr2,norm_pr1,norm_pr2
fork,a,tree,a,cow,4.6563356799209954e-09,4.466602130370666e-09,0.5103987089189784,0.4896012910810217
broom,a,horse,a,bear,8.765441906837968e-09,8.215926860269004e-09,0.5161799397358763,0.4838200602641237
necklace,a,centipede,a,spider,9.799052468467952e-09,7.703974875862341e-09,0.5598490064429986,0.4401509935570013
bow-tie,a,dragonfly,a,dalmatian,1.3271542589865358e-08,0.0012882825647188266,1.0301626549053242e-05,0.9999896983734509
can,a,car,an,apple,8.796568646102422e-09,1.516729253860543e-08,0.3670764313939445,0.6329235686060555
tape_measure,a,chameleon,a,jellyfish,1.1055470377494947e-08,8.472063461006441e-09,0.5661478028371135,0.4338521971628865
umbrella,a,dancer,a,painter,6.055312611765318e-09,5.655865411942519e-09,0.517054099895594,0.4829459001044059
wine_bottle,a,bus,an,elephant,8.465287629066848e-09,1.0061904761638464e-08,0.45691151959504117,0.5430884804049588
spoon,a,rose,a,lock,1.1274516057118427e-08,6.480535535944322e-09,0.6350032833204272,0.3649967166795728
avocado,a,turtle,a,frog,8.472082771340317e-09,8.458431360326564e-09,0.5004031599663066,0.4995968400336933
tape,a,snail,a,motorcycle,9.278022703855521e-09,1.3210083617773326e-08,0.4125746548490838,0.5874253451509162
pineapple,a,bouquet,a,palm tree,1.4539509014173795e-08,8.084859576525593e-09,0.6426481674344192,0.35735183256558084
marker,a,plane,a,lantern,8.853316710732533e-09,1.2575883488400417e-08,0.41314265714362725,0.5868573428563728
battery,a,car,a,snowman,1.664532265545756e-08,8.773640384158187e-09,0.6548387764487338,0.3451612235512663
card,a,tent,a,butterfly,1.3745425185275219e-08,1.1984678705466843e-08,0.5342156892814162,0.46578431071858384
paint_brush,a,fish,a,sheep,9.960856321475612e-09,7.996742614737392e-09,0.5546875368392771,0.44531246316072304
airplane,an,eagle,a,strawman,8.108823584151072e-09,6.659630276353031e-09,0.5490638126877209,0.4509361873122792
clock,an,armchair,a,crown,9.098025138629784e-09,7.637102805716656e-09,0.5436483765696773,0.45635162343032265
carnation,a,mop,a,bird,5.451815265090715e-09,7.4437729574719075e-09,0.42276592358555676,0.5772340764144434
pear,a,cello,a,corn,6.247608804685399e-09,1.1984165559132172e-08,0.3426769484973598,0.6573230515026401
apple,a,dog,a,tomato,8.195813889388358e-09,1.7363554100011844e-07,0.04507371071600218,0.9549262892839978
baseball_bat,a,microphone,a,desk,1.6954779791618658e-07,1.282500525134842e-08,0.9296769856656375,0.07032301433436242
bottle,a,rocket,a,horn,4.81739382278448e-07,3.845100008452114e-08,0.9260828316166532,0.07391716838334679
hairbrush,a,hedgehog,a,tiger,1.3893216508319942e-08,5.6169969143640416e-08,0.19829552965711048,0.8017044703428896
tennis_racket,a,guitar,an,accordion,9.336198319135934e-09,7.416719032499016e-09,0.5572879113036868,0.4427120886963132
train,a,caterpillar,a,duck,4.822764677826725e-06,1.448092687026963e-08,0.9970063693155856,0.002993630684414404
fire_truck,a,giraffe,a,phone,6.030788603051939e-09,1.621157408547317e-06,0.0037062637337300156,0.9962937362662699
car,a,frog,a,crow,1.0603977747682126e-08,1.0564072451564978e-08,0.5009425831794032,0.49905741682059673
scissors,a,ballet dancer,an,opera singer,6.331803067511648e-09,5.333270462816364e-09,0.5428000990349182,0.4571999009650818
banana,a,phone,a,lemon,3.768840196473535e-08,7.263064424715921e-09,0.8384243049650469,0.16157569503495306
high_heel,a,ladder,a,rose,1.3337663842965209e-08,1.878152175977081e-08,0.4152553557220038,0.5847446442779962
studio_couch,a,piano,a,drum,1.5611457699644678e-08,1.2932863900236301e-08,0.5469199064695857,0.45308009353041434
mug,an,elephant,a,caterpillar,8.913332050962652e-09,2.0114162531620575e-08,0.30706515250926053,0.6929348474907395
bowl,a,swimming pool,a,sofa,1.3257134995710854e-08,2.9494193917011853e-08,0.3100987813215219,0.6899012186784782
binoculars,a,spaceship,a,piano,9.685814828350698e-09,8.278929606296002e-09,0.5391568393074768,0.46084316069252335
table_tennis_racket,a,peacock,a,tree,9.352997689336062e-09,6.678251475797513e-09,0.5834228881975044,0.4165771118024955
lemon,a,rugby ball,a,school bus,1.8407095361417864e-07,8.733163953636453e-09,0.9547044738265783,0.04529552617342175
soap_dispenser,a,crane bird,a,hammer,7.438182438713158e-09,1.2338583882166863e-08,0.3761071106382055,0.6238928893617945
towel,a,jellyfish,an,octopus,1.1866969507973726e-08,6.962649379460543e-09,0.6302288739307949,0.3697711260692051
belt,a,snake,a,swan,9.304219745675844e-09,6.319303897484187e-09,0.5955263331232725,0.40447366687672753
jug,a,swan,a,woodpecker,6.054422555298463e-09,7.580725961419135e-09,0.4440305544068947,0.5559694455931053
stapler,a,crocodile,a,lion,1.1044924635183068e-08,3.056065496428824e-08,0.26546739022771404,0.7345326097722861
calculator,a,bed,a,bench,1.6134548185167993e-08,9.814234963381852e-09,0.6217843855259809,0.37821561447401914
hat,a,boat,a,nest,9.017147865309248e-09,1.9555768210302272e-08,0.3155837451608887,0.6844162548391112
scarf,a,snake,a,sheep,7.668602390054718e-09,9.131399132958297e-09,0.4564643865984236,0.5435356134015764
volleyball,a,watermelon,a,corn,2.347717434446305e-08,2.8412850899584168e-08,0.4524409890734507,0.5475590109265492
orange,a,lantern,a,carrot,1.162635575535049e-08,1.070896675510274e-08,0.5205367305490753,0.47946326945092466
briefcase,a,house,a,bridge,1.0870614687962796e-08,1.1523541197320379e-08,0.485421944173688,0.514578055826312
soup_spoon,a,duckling,a,cherry,7.616072148400988e-09,6.708015250767637e-09,0.5316968499398452,0.4683031500601548
balloon,a,boat,a,flower,7.15410988200984e-09,7.8656842945595e-09,0.4763121117312078,0.5236878882687922
